,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,June-September,Oct-Dec,Latitude,Longitude,flood,avgjune,sub
0,Konkan & Goa,1901,5.6,0.1,0.4,35.7,19.9,746.1,1075.5,748.0,117.4,38.6,5.4,0.1,2792.8,5.7,56.0,2687.0,44.1,15.30045,74.08551,0,248.70000000000002,726.2
1,Konkan & Goa,1902,0.3,0.0,0.0,0.4,7.6,428.2,943.6,515.1,613.8,74.3,42.7,48.0,2674.0,0.3,8.0,2500.7,165.0,15.30045,74.08551,0,142.73333333333332,420.59999999999997
2,Konkan & Goa,1903,0.0,0.0,0.1,0.0,201.1,470.5,1298.6,673.9,285.1,140.8,12.4,1.7,3084.2,0.0,201.2,2728.1,154.9,15.30045,74.08551,0,156.83333333333334,269.4
3,Konkan & Goa,1904,0.0,0.1,6.6,6.3,4.6,975.8,771.7,321.3,217.0,90.3,0.0,0.0,2393.7,0.1,17.5,2285.8,90.3,15.30045,74.08551,0,325.26666666666665,971.1999999999999
4,Konkan & Goa,1905,0.1,0.1,0.0,0.4,8.6,293.7,770.6,305.5,208.3,83.5,12.1,0.0,1682.9,0.2,9.0,1578.1,95.6,15.30045,74.08551,0,97.89999999999999,285.09999999999997
5,Konkan & Goa,1906,5.0,0.9,0.0,0.0,2.9,547.4,1090.9,506.7,222.5,31.6,10.2,0.7,2418.8,5.9,2.9,2367.5,42.5,15.30045,74.08551,0,182.46666666666667,544.5
6,Konkan & Goa,1907,1.7,1.0,0.0,20.1,0.0,583.1,1170.9,811.5,164.0,11.4,1.9,0.9,2766.5,2.7,20.1,2729.5,14.2,15.30045,74.08551,0,194.36666666666667,583.1
7,Konkan & Goa,1908,0.9,1.1,0.0,2.3,1.0,440.0,1391.8,649.8,222.4,24.6,1.6,0.0,2735.5,2.0,3.3,2704.0,26.2,15.30045,74.08551,0,146.66666666666666,439.0
8,Konkan & Goa,1909,0.1,0.0,0.1,0.3,7.8,759.5,1301.8,381.5,384.4,17.5,7.4,0.1,2860.5,0.1,8.2,2827.2,25.0,15.30045,74.08551,0,253.16666666666666,751.7
9,Konkan & Goa,1910,0.0,0.0,0.3,0.0,2.6,832.4,407.8,763.2,374.6,121.4,41.7,0.0,2544.0,0.0,2.9,2378.0,163.1,15.30045,74.08551,0,277.46666666666664,829.8
10,Konkan & Goa,1911,0.2,0.0,3.2,0.0,17.1,543.6,585.6,750.3,175.5,34.2,21.4,3.6,2134.7,0.2,20.3,2055.0,59.2,15.30045,74.08551,0,181.20000000000002,526.5
11,Konkan & Goa,1912,0.0,0.0,0.0,4.1,28.9,671.0,1242.9,541.7,135.2,71.9,97.5,0.0,2793.2,0.0,33.0,2590.8,169.4,15.30045,74.08551,0,223.66666666666666,642.1
12,Konkan & Goa,1913,0.0,0.0,0.0,1.3,18.7,897.9,1074.3,321.8,194.4,107.5,1.6,0.0,2617.5,0.0,20.0,2488.4,109.1,15.30045,74.08551,0,299.3,879.1999999999999
13,Konkan & Goa,1914,0.0,0.8,0.0,0.8,1.6,706.9,1370.3,797.6,549.9,21.9,11.2,3.6,3464.6,0.8,2.4,3424.7,36.7,15.30045,74.08551,1,235.63333333333333,705.3
14,Konkan & Goa,1915,0.0,4.7,5.9,10.2,7.7,845.1,734.4,355.1,412.2,137.4,12.8,0.3,2525.8,4.7,23.8,2346.8,150.5,15.30045,74.08551,0,281.7,837.4
15,Konkan & Goa,1916,0.0,0.0,0.0,2.4,39.9,832.7,765.6,851.1,620.1,204.7,86.1,0.0,3402.6,0.0,42.3,3069.5,290.8,15.30045,74.08551,1,277.56666666666666,792.8000000000001
16,Konkan & Goa,1917,0.0,18.4,1.2,0.3,17.5,807.6,675.1,902.5,567.7,408.0,32.6,0.0,3430.9,18.4,19.0,2952.9,440.6,15.30045,74.08551,0,269.2,790.1
17,Konkan & Goa,1918,0.1,0.0,3.3,0.1,345.4,334.1,424.7,578.1,123.6,5.8,52.0,0.0,1867.2,0.1,348.8,1460.5,57.8,15.30045,74.08551,0,111.36666666666667,11.299999999999955
18,Konkan & Goa,1919,2.5,0.0,0.0,0.0,9.6,643.6,1120.2,643.5,276.8,124.5,20.6,10.5,2851.8,2.5,9.6,2684.1,155.6,15.30045,74.08551,0,214.53333333333333,634.0
19,Konkan & Goa,1920,14.0,1.2,0.0,12.0,5.1,424.9,824.0,360.8,226.7,52.4,2.9,0.0,1924.0,15.2,17.1,1836.4,55.3,15.30045,74.08551,0,141.63333333333333,419.79999999999995
20,Konkan & Goa,1921,0.3,0.0,0.1,4.8,0.0,658.1,1102.5,611.8,450.4,57.5,13.7,0.0,2899.2,0.3,4.9,2822.8,71.2,15.30045,74.08551,0,219.36666666666667,658.1
21,Konkan & Goa,1922,0.0,0.0,0.0,6.3,13.4,774.3,1290.6,339.3,261.1,41.4,90.0,1.2,2817.6,0.0,19.7,2665.3,132.6,15.30045,74.08551,0,258.09999999999997,760.9
22,Konkan & Goa,1923,0.0,0.5,4.7,1.3,7.8,259.4,1643.9,480.7,363.7,8.3,0.1,0.0,2770.4,0.5,13.8,2747.7,8.4,15.30045,74.08551,0,86.46666666666665,251.59999999999997
23,Konkan & Goa,1924,0.0,0.0,0.1,0.1,0.4,522.5,932.2,641.7,324.4,19.0,3.8,0.0,2444.2,0.0,0.6,2420.8,22.8,15.30045,74.08551,0,174.16666666666666,522.1
24,Konkan & Goa,1925,0.1,0.0,7.4,5.2,121.0,800.9,655.5,501.5,120.4,74.6,18.6,0.0,2305.2,0.1,133.6,2078.3,93.2,15.30045,74.08551,0,266.96666666666664,679.9
25,Konkan & Goa,1926,31.8,0.0,0.0,0.0,1.5,306.1,1203.6,1149.6,432.9,39.2,1.1,0.0,3165.8,31.8,1.5,3092.2,40.3,15.30045,74.08551,1,102.03333333333335,304.6
26,Konkan & Goa,1927,0.0,0.2,0.2,0.0,5.5,785.6,1030.3,416.6,240.9,178.8,87.3,1.6,2747.0,0.2,5.7,2473.4,267.7,15.30045,74.08551,0,261.8666666666667,780.1
27,Konkan & Goa,1928,0.0,1.3,0.2,3.1,1.1,657.0,1159.4,939.9,264.5,137.9,7.7,0.4,3172.5,1.3,4.4,3020.8,146.0,15.30045,74.08551,1,219.0,655.9
28,Konkan & Goa,1929,1.0,0.0,3.2,14.9,6.2,773.8,767.6,516.0,250.9,152.4,11.2,12.1,2509.3,1.0,24.3,2308.3,175.7,15.30045,74.08551,0,257.93333333333334,767.5999999999999
29,Konkan & Goa,1930,0.0,0.2,0.1,0.3,12.5,1024.9,690.5,427.3,542.6,136.2,10.6,0.6,2845.8,0.2,12.9,2685.3,147.4,15.30045,74.08551,0,341.6333333333334,1012.4000000000001
30,Konkan & Goa,1931,0.0,0.0,0.1,1.7,1.8,344.9,1867.2,944.9,307.1,458.9,51.5,21.2,3999.3,0.0,3.6,3464.1,531.6,15.30045,74.08551,1,114.96666666666665,343.09999999999997
31,Konkan & Goa,1932,0.5,0.0,0.0,2.9,45.9,435.3,1248.1,485.6,456.2,259.1,21.1,8.2,2962.9,0.5,48.8,2625.2,288.4,15.30045,74.08551,0,145.1,389.40000000000003
32,Konkan & Goa,1933,0.0,0.1,1.6,15.3,129.2,816.5,909.0,758.6,485.8,179.7,19.2,28.4,3343.4,0.1,146.1,2969.9,227.3,15.30045,74.08551,0,272.1666666666667,687.3
33,Konkan & Goa,1934,0.7,0.0,0.3,2.7,0.7,1060.2,893.0,870.7,329.7,60.3,53.5,0.5,3272.3,0.7,3.7,3153.6,114.3,15.30045,74.08551,1,353.40000000000003,1059.5
34,Konkan & Goa,1935,0.2,0.1,0.0,0.0,0.0,700.3,879.9,466.5,419.7,64.3,11.0,0.6,2542.6,0.3,0.0,2466.4,75.9,15.30045,74.08551,0,233.4333333333333,700.3
35,Konkan & Goa,1936,0.0,0.0,0.1,0.3,23.2,993.2,712.9,534.9,376.2,62.1,79.1,1.3,2783.3,0.0,23.6,2617.2,142.5,15.30045,74.08551,0,331.06666666666666,970.0
36,Konkan & Goa,1937,0.0,4.0,0.1,53.5,2.4,826.9,1492.9,270.1,378.1,159.2,4.0,0.7,3191.9,4.0,56.0,2968.0,163.9,15.30045,74.08551,0,275.6333333333333,824.5
37,Konkan & Goa,1938,0.0,0.4,4.0,2.1,55.2,1118.1,908.2,634.8,345.6,400.0,27.0,0.1,3495.5,0.4,61.3,3006.7,427.1,15.30045,74.08551,1,372.7,1062.8999999999999
38,Konkan & Goa,1939,0.2,0.0,0.4,5.8,0.1,509.6,1116.8,817.1,227.9,58.0,22.7,0.0,2758.6,0.2,6.3,2671.4,80.7,15.30045,74.08551,0,169.86666666666667,509.5
39,Konkan & Goa,1940,4.8,6.1,2.8,1.9,7.9,668.3,1105.9,987.1,328.9,172.7,26.7,0.6,3313.7,10.9,12.6,3090.2,200.0,15.30045,74.08551,1,222.76666666666665,660.4
40,Konkan & Goa,1941,17.1,0.2,0.1,1.0,5.1,602.7,718.0,282.0,194.6,61.4,0.2,7.3,1889.7,17.3,6.2,1797.3,68.9,15.30045,74.08551,0,200.9,597.6
41,Konkan & Goa,1942,0.0,0.0,0.0,3.3,2.6,987.6,1386.3,536.7,312.0,37.1,1.4,12.4,3279.4,0.0,5.9,3222.6,50.9,15.30045,74.08551,1,329.2,985.0
42,Konkan & Goa,1943,3.6,0.0,0.1,0.0,200.0,788.0,1313.1,281.8,468.4,168.4,27.8,0.0,3251.2,3.6,200.1,2851.3,196.2,15.30045,74.08551,0,262.6666666666667,588.0
43,Konkan & Goa,1944,0.1,0.0,0.7,0.0,17.5,542.5,1456.0,658.6,85.7,177.0,14.1,0.0,2952.2,0.1,18.2,2742.8,191.1,15.30045,74.08551,0,180.83333333333334,525.0
44,Konkan & Goa,1945,8.8,0.0,0.0,0.9,1.1,733.2,1394.2,709.4,348.4,44.9,3.6,0.0,3244.5,8.8,2.0,3185.2,48.5,15.30045,74.08551,1,244.4,732.1
45,Konkan & Goa,1946,0.0,0.0,0.0,14.4,30.0,787.9,1085.7,878.9,334.0,47.3,170.4,10.4,3359.0,0.0,44.4,3086.5,228.1,15.30045,74.08551,1,262.6333333333333,757.9
46,Konkan & Goa,1947,4.9,0.0,5.8,67.3,7.5,398.3,1133.9,919.2,497.5,50.8,2.0,2.9,3090.1,4.9,80.6,2948.9,55.7,15.30045,74.08551,0,132.76666666666668,390.8
47,Konkan & Goa,1948,10.5,0.0,0.2,2.3,7.2,599.3,1080.4,797.3,376.6,77.7,168.1,0.0,3119.6,10.5,9.7,2853.6,245.8,15.30045,74.08551,0,199.76666666666665,592.0999999999999
